Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Profit Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity
Indusind Bank Ltd,INDUSINDBK,Private Banks,72232.42741841,913.4,24.6517801101016,7.48922537734823,0.873645959232023,8.25367288739259,19.8173805493952,11.9915167822138,-25.8329154896128,-8.05806900558276,,
Havells India Ltd,HAVELLS,Electrical Components & Equipments,71838.41158397,1137.15,68.7903128227921,22.0136047538644,13.1147685095358,9.81064684076335,13.82159510183,16.6895889582194,-7.17112140107494,20.2720445628854,10.0718660046752,7.60485288719742
Tata Consumer Products Ltd,TATACONSUM,Tea & Co?ee,71171.43894945,747.8,83.0772379150567,5.61131603501236,4.42838437811928,7.2553441776602,12.7058076537796,13.8425655779148,8.48267237177131,38.6583518799245,10.4533552099438,4.32993068424987
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance,70758.57935223,477.45,74.0036389188202,10.0316482423501,0.512336587053336,1.12685514487186,4.02744082503696,1.5074744384846,-5.0767778456782,5.16891384372256,9.91511013208579,9.91511013208579
Berger Paints India Ltd,BERGEPAINT,Paints,69736.169892755,693.55,96.8894336821883,23.7887879534041,13.3075840749034,10.4781135173852,17.1521875884286,17.9625219097754,-20.5289573537283,24.657685818892,18.7285197979864,10.6045337817272
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,69590.33614143,4767.4,462.701703068015,3.63627571867221,1.32625526886652,1.41014101410142,11.9234520740711,11.6542904290429,46.356097007733,31.8910883144528,59.5389805097451,51.5034149591871
Marico Ltd,MARICO,FMCG - Personal Products,67752.98965998,504.35,57.8097181399147,37.2418176040674,22.5601539942252,13.0121016986788,18.8349652736876,18.8297990451871,11.6171254025999,11.5538874138728,10.7734806629834,0.245549416820135
GAIL (India) Ltd,GAIL,Gas Distribution,67183.02845425,144.3,10.9483697074401,11.9576028166577,7.85004405483588,10.1914237483832,15.7505922773153,16.7387244705778,-11.911026402957,0.72225009259943,14.7760043528667,10.6808523976146
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,67080.24321635,4004.95,34.3719221235653,11.7423023119388,7.83598869330593,10.066591358082,19.4517329946104,21.712083932965,-22.4036567593104,8.8307152416558,17.1797502508262,3.57051758050528
United Spirits Ltd,MCDOWELL-N,Alcoholic Beverages,66818.063037825,904.95,174.186817095476,9.90497831026655,4.42072995056069,4.67565393335125,13.8816528086787,12.5143219326687,52.6250290783532,15.919317439204,25.5438665648328,2.33314444800315
Eicher Motors Ltd,EICHERMOT,Trucks & Buses,66631.84284189,2378.75,49.4708868889739,12.5765850055628,9.97388583448144,14.632681019526,31.4485614260144,24.6132669612273,-26.722460469819,-0.95925819980327,1.91684268688451,0.403214525514772
MindTree Ltd,MINDTREE,IT Services & Consulting,65716.75238982,3975.95,59.1776248445025,29.7091950025415,19.282861607918,13.6769505511423,16.8159211781286,22.2723074080916,83.7328766436848,52.959654646712,12.4496411206298,10.4005556841862
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance,62313.55476632,1240.55,42.3026901960029,21.7106911564866,3.86984028738497,11.6185190852459,14.6296705497261,16.4366425363493,-29.7455569908724,,6.52278874099418,6.52278874099418
Motherson Sumi Systems Ltd,MOTHERSUMI,Auto Parts,61868.72707158,133.3,59.5349567663394,6.61704308846285,2.24009450129228,1.79139056865274,9.17315951184623,8.51134616312825,-40.2433124134404,-0.483956704936728,71.9348283576239,50.7172619227082
Zomato Ltd,ZOMATO,Online Services,61757.586836715,80.4,-75.9812830176119,-18.4805184913185,-14.0090348622968,-38.3680367064288,-68.7126533670173,-31.4992706863102,-16.098752034726,,0.896946871435968,0.654762566708802
Indian Railway Catering and Tourism Corporatio,IRCTC,Online Services,61636,770.75,324.570826750922,13.6580875081362,5.92738254090877,20.9122544269227,28.2492434173684,34.7238128799225,91.5945920773732,,0,0
Ambuja Cements Ltd,AMBUJACEM,Cement,60800.45691198,300.35,21.8676788467691,8.0302492275081,5.92129991037094,9.47701847391092,19.1097588246657,22.0280570029515,-10.1365011968357,4.83852484106306,0.309225667723652,0.149835953686944
Cholamandalam Investment and Finance Comp,CHOLAFIN,Consumer Finance,59095.83423441,697.85,38.8568535134135,17.0886410189857,2.19298074858615,15.8691038400297,23.8057995021973,22.4358238607314,10.1289770057009,28.9143319229026,663.867893081106,572.029833954874
Info Edge (India) Ltd,NAUKRI,Online Services,58915.782080055,4643.1,41.8709540893588,36.3876159837804,30.3755058248791,52.0441036680315,29.0936309796616,61.0320199139675,-15.2122387696194,40.7853508147036,1.17527463400189,0.794831608369386
Mphasis Ltd,MPHASIS,IT Services & Consulting,58352.30324524,3103.9,47.9555417860289,19.6952002660989,13.4420287653671,12.3467062259139,19.1630068524728,19.6424041577797,70.1762284609831,39.3881534992891,7.86690384588867,0
UPL Ltd,UPL,Fertilizers & Agro Chemicals,58189.70192896,775.9,20.2680954123859,12.1719591300293,4.18534473333188,7.36267118018157,19.2757578689191,21.5776786172232,7.95592859522045,9.85548799806717,99.3205858421481,92.4572823433686
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,57844.69110464,209.95,15.3068777731252,25.6906180636521,11.6820407557622,24.8345567698647,58.2510892967997,55.476548791788,-36.4213326798873,-7.70258857614995,135.894690432701,80.2280027713044
Bank of Baroda Ltd,BANKBARODA,Public Banks,55824.854722305,106.5,36.070490109136,1.94287788865716,0.128475493241139,1.73892076487074,3.56668509661725,8.6858061881876,28.4059969476349,-8.14297642008503,,
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management,55743.5803537,5008.4,15.272925137253,9.55237201024638,9.33241726490674,93.3780374859927,92.5796378911394,97.2033893968777,29.9613237891294,18.996222660984,0.308674786020917,0.308674786020917
Piramal Enterprises Ltd,PEL,Diversified Financials,54301.78971841,2234.6,40.7567060348034,4.05082303150445,1.75542868104899,9.787823000216,52.1551495625996,60.424971092151,2.19351127222725,3.78031993751282,112.573223567231,80.3585251242496
Gland Pharma Ltd,GLAND,Pharmaceuticals,54222.363130845,3282.65,54.3871562141739,20.8800898059371,18.8425381681554,27.7116236664944,38.8383592169129,39.9429073342117,12.4133939123839,,0.0689451894214025,0.0665736104241061
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance,53661.771854405,1354.55,14.1051865877418,27.4082740654502,6.1612804722763,32.8917677206949,42.2027198108573,44.9477020547412,-6.01301104565695,31.0378098619676,319.896050727144,210.44181930898
Macrotech Developers Ltd,LODHA,Real Estate,53476.09656372,1108.35,1331.90775999306,0.787461031466059,0.100374309926617,0.695641627610804,22.0879848277835,21.5366489652006,-16.098752034726,,354.924158919984,83.2560453388218
Bharat Electronics Ltd,BEL,Electronic Equipments,51022.25622642,208.9,24.308582535194,19.8384992251989,7.79631824225328,14.746322974079,23.0327067219664,23.456457057747,47.1681490985292,7.57567691693697,0,0
Procter & Gamble Hygiene and Health Care Ltd,PGHH,FMCG - Personal Products,50445.76908448,15493.6,77.3957395548873,69.6308482851084,37.6636396994028,18.0375368062167,25.1296183400194,25.5612256193407,3.63771891718577,17.7826966544491,0,0
L&T Technology Services Ltd,LTTS,Software Services,49946.791658595,4788.1,75.3004547845546,21.1960950357103,14.1587064411121,11.8374558303887,20.7613653429227,20.7213477531499,68.5988254996052,43.8294726527507,0,0
Adani Wilmar Ltd,AWL,,49361.7934179,391.25,67.837275363018,24.7970215629978,5.79512425888472,1.95627661936903,4.0407788243628,3.84604010252809,-16.098752034726,,57.7296363112654,31.0507405666813
JSW Energy Ltd,JSWENERGY,Power Generation,48993.09572977,304.7,61.589349486813,6.09095078648365,3.11111841163537,11.0840486010478,38.8234338156459,44.0472076691562,243.217285701123,37.47576140223,57.5480677707976,48.0912908289811
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel,48673.503548355,487.6,12.1313751927509,12.8807385573168,4.78833185137554,8.02485260168674,19.152909264027,25.1662593770289,39.6591141208402,30.7093240118953,94.7397240259793,65.3923121753682
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,48644.7630912,2763.6,38.857368989999,23.4865703787573,8.91513043366796,15.5291584175611,26.9240278394602,31.5367649612726,-1.62604886183226,13.9116830248714,82.6677996357824,50.3852037888223
Bandhan Bank Ltd,BANDHANBNK,Private Banks,48564.59089005,294.95,22.0201639975561,13.5289188569129,2.12980177371138,15.0715458677384,34.8187613414689,20.8546688470861,-30.8654042526136,,,
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,48352.49160259,2391.55,16.571841865338,19.3828639605613,13.6438582413533,9.25767575623257,17.0747513586252,14.6296818646645,-39.4256199314286,-6.43260486828314,3.7534359794365,1.65556848789912
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments,48345.74475,1446.2,14.9240134929896,22.599044263839,6.02796941635343,14.0117476080901,23.5569117499074,24.7502551947266,24.030117690578,,0.33010771799499,0
Adani Power Ltd,ADANIPOWER,Power Generation,48250.30615191,124.55,37.9929653631632,12.8556099931166,1.65404547146802,4.51152553066323,25.395617585849,37.6441934686291,18.9880158611525,25.5351626601139,396.357607867319,302.013795987255
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management,47727.6511116,2152.85,36.0002195809196,30.1122942181197,28.1977603607244,60.2141942282013,67.1634391631748,81.951547412501,-41.1126844624515,,0,0
Page Industries Ltd,PAGEIND,Apparel & Accessories,47598.15344634,41826.2,139.76026498617,39.9551843074685,21.2006897367422,11.9396444435096,20.575164533109,19.1643616144831,31.5193964474006,23.3574686921612,14.3567489377091,10.6669830937528
Tata Elxsi Ltd,TATAELXSI,Software Services,46282.293297,7403.75,125.719273366111,30.1479801164514,23.7076057662276,19.7295718488904,26.5749020357402,30.1892353946825,151.701873722603,58.0193719564023,5.41422000029582,4.47129819994379
IDBI Bank Ltd,IDBI,Public Banks,46074.043319875,44.75,30.4325999325449,4.16610713876879,0.504674708787506,6.10382431926295,-29.9272834009968,7.44052382655281,3.71383163327937,-10.3672864860383,,
Trent Ltd,TRENT,Retail - Apparel,44864.295015505,1279.6,-306.93230495659,-6.05901079405087,-2.60311066114239,-5.23051929462959,12.3922147552559,11.2099937020497,44.0113580753841,38.8879981252104,12.7222674675082,0
ABB India Ltd,ABB,Heavy Electrical Equipments,44529.366380625,2091.45,85.6811806211637,6.15225728233674,2.86724568758898,7.20322773792232,9.73406922444309,11.4330502178806,31.8271241190386,11.8130358140614,0,0
Godrej Properties Ltd,GODREJPROP,Real Estate,44378.01501588,1607.8,-234.271314025656,-2.8860510326587,-1.43854242686352,-14.2098432964016,17.8439489730396,8.90712555041297,5.91225156990312,32.8622928587593,54.5995006905471,12.2818826634806
NMDC Ltd,NMDC,Mining - Iron Ore,44340.0665105,151.55,7.06429977033891,21.8019472822507,18.4000344745605,39.9225037940321,53.5212879390267,58.1429532771151,-2.45045807147137,2.06156601613221,6.67100592388885,1.82767239767486
Bosch Ltd,BOSCHLTD,Auto Parts,43018.685963,14249,89.2503858153526,5.05410619914438,3.43358645941672,4.72868901511808,17.9675278796048,9.03258086352533,-18.0161434737505,-9.0550095001475,0.548257905410225,0.346482691151444
Voltas Ltd,VOLTAS,Home Electronics & Appliances,42895.8976936,1288.7,81.6846892135431,11.237568410522,6.25804018259072,6.78068961242872,11.0079864375696,9.93267601851086,15.3677106023564,27.1084788655486,5.18167990535744,0.112537156150275
PI Industries Ltd,PIIND,Diversified Chemicals,42692.281874595,2784.05,57.8251142822633,18.546756264523,13.1525737750185,15.6874827359072,23.6481152491323,24.3779614559208,6.06764403355258,25.8266925002003,6.13769092542678,4.81805929919138
Colgate-Palmolive (India) Ltd,COLPAL,FMCG - Personal Products,41715.79661475,1521.2,40.2899357872396,75.0277171904552,37.6643785535779,21.2537231323783,27.8378773492522,31.611574913221,-19.7501438705558,9.17782967862164,7.82083612097507,6.63544507916903
Balkrishna Industries Ltd,BALKRISIND,Tires & Rubber,41224.8907675,2055.35,35.0096309796778,21.3938826863855,15.7288797582823,19.7726414064664,31.2801398010272,33.2974552293316,11.0218837694612,23.3648749473974,16.6858339083506,0.026334123357034
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals,41117.805675,3496.85,25.9415058958247,22.8603488286563,14.7685513025977,17.4212098630281,19.0293136216122,23.9123696723095,17.1221939240907,10.3800057881591,22.5858393942321,0.453161612646714
Varun Beverages Ltd,VBL,Soft Drinks,41090.5089612,943.3,59.2031077445753,17.8295778428847,7.70029578117963,7.50887951021239,18.0942605490679,18.8770327127323,28.8682066251787,41.6178185738946,79.9556794624348,43.2084733242786
Canara Bank Ltd,CANBK,Public Banks,41008.41434646,224.95,14.1868664689423,5.4986055605236,0.299894652638654,3.08626704641002,-1.5200586660529,5.0390589340672,32.8747578990488,-4.85124920066029,,
